formula   X_a0      X_b1      Z_a2      Z_b3      IE_a4     IE_b5     EA_a6     EA_b7     r_A8      r_B9      vale_A10  vale_B11  cr.r_A12  cr.r_B13  mb.x_A14  mb.x_B15  s_A16     p_A17     d_A18     f_A19     s_B20     p_B21     d_B22     f_B23     random24  random25  topoY     
SrO       0.95      3.44      38        8         5.69487   13.61806  0.05207   1.46111   2.0       0.6       2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         0         0         0.807831  0.855912  0         
ErN       1.24      3.04      68        7         6.1077    14.53413  0.312     -0.07     1.75      0.65      3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         0         0         0.035253  0.728759  0         
LaSb      1.1       2.05      57        51        5.5769    8.60839   0.55755   1.0474    1.95      1.45      3         5         3.08      3.08      1.35      1.35      2         0         1         0         2         3         10        0         0.425482  0.621814  1         
YbS       1.1       2.58      70        16        6.25416   10.36001  -0.02     2.0771    1.75      1.0       3         6         3.59      3.59      1.1       1.1       2         0         0         14        2         4         0         0         0.351439  0.208507  0         
SnS       1.96      2.58      50        16        7.34392   10.36001  1.11207   2.0771    1.45      1.0       4         6         1.88      1.88      1.88      1.88      2         2         10        0         2         4         0         0         0.698743  0.910275  1         
OsC       2.2       2.55      76        6         8.43823   11.26029  1.0778    1.26211   1.3       0.7       8         4         2.65      2.65      1.85      1.85      2         0         6         14        2         2         0         0         0.266132  0.71143   1         
HgS       2.0       2.58      80        16        10.4375   10.36001  -0.52     2.0771    1.5       1.0       12        6         2.41      2.41      1.49      1.49      2         0         10        14        2         4         0         0         0.52168   0.203577  0         
TbAs      1.1       2.18      65        33        5.8638    9.78855   0.13132   0.80482   1.75      1.15      3         5         3.89      3.89      1.2       1.2       2         0         0         9         2         3         10        0         0.709899  0.163623  1         
TmAs      1.25      2.18      69        33        6.18431   9.78855   1.02922   0.80482   1.75      1.15      3         5         3.60      3.60      1.2       1.2       2         0         0         13        2         3         10        0         0.987763  0.262374  0         
ZrS       1.33      2.58      40        16        6.63413   10.36001  0.43329   2.0771    1.55      1.0       4         6         2.825     2.825     1.70      1.70      2         0         2         0         2         4         0         0         0.17113   0.231252  0         
SnSe      1.96      2.55      50        34        7.34392   9.75239   1.11207   2.0206    1.45      1.15      4         6         1.88      1.88      1.88      1.88      2         2         10        0         2         4         10        0         0.536032  0.849478  1         
LaP       1.1       2.19      57        15        5.5769    10.48669  0.55755   0.74661   1.95      1.0       3         5         3.08      3.08      1.35      1.35      2         0         1         0         2         3         0         0         0.31879   0.105274  1         
SmN       1.17      3.04      62        7         5.64371   14.53413  0.162     -0.07     1.85      0.65      3         5         4.14      4.14      1.2       1.2       2         0         0         6         2         3         0         0         0.410834  0.784292  1         
HgSe      2.0       2.55      80        34        10.4375   9.75239   -0.52     2.0206    1.5       1.15      12        6         2.41      2.41      1.49      1.49      2         0         10        14        2         4         10        0         0.199352  0.993707  0         
BaTe      0.89      2.1       56        52        5.21166   9.00981   0.14463   1.97088   2.15      1.4       2         6         3.402     3.402     1.08      1.08      2         0         0         0         2         4         10        0         0.780926  0.435815  0         
TmP       1.25      2.19      69        15        6.18431   10.48669  1.02922   0.74661   1.75      1.0       3         5         3.60      3.60      1.2       1.2       2         0         0         13        2         3         0         0         0.04641   0.577964  0         
SmP       1.17      2.19      62        15        5.64371   10.48669  0.162     0.74661   1.85      1.0       3         5         4.14      4.14      1.2       1.2       2         0         0         6         2         3         0         0         0.686687  0.23721   1         
ThS       1.3       2.58      90        16        6.3067    10.36001  1.17      2.0771    1.8       1.0       3         6         4.98      4.98      1.3       1.3       2         0         2         0         2         4         0         0         0.269624  0.146601  0         
AgBr      1.93      2.96      47        35        7.57623   11.81381  1.30447   3.36359   1.6       1.15      11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         10        0         0.639825  0.305509  0         
YBi       1.22      2.02      39        83        6.21726   7.28552   0.30712   0.94236   1.8       1.6       3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         10        14        0.935267  0.397667  1         
LiBr      0.98      2.96      3         35        5.39171   11.81381  0.61805   3.36359   1.45      1.15      1         7         1.61      1.61      0.90      0.90      1         0         0         0         2         5         10        0         0.990323  0.149132  0         
RbCl      0.82      3.16      37        17        4.17713   12.96763  0.48592   3.61273   2.35      1.0       1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         0         0         0.455556  0.617503  0         
PrN       1.13      3.04      59        7         5.4702    14.53413  0.10923   -0.07     1.85      0.65      3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         0         0         0.362966  0.33842   1         
HCl       2.2       3.16      1         17        13.59843  12.96763  0.7546    3.61273   0.25      1.0       1         7         1.25      1.25      2.10      2.10      1         0         0         0         2         5         0         0         0.657953  0.439185  0         
CuN       1.9       3.04      29        7         7.72638   14.53413  1.23578   -0.07     1.35      0.65      11        5         2.04      2.04      1.08      1.08      1         0         10        0         2         3         0         0         0.860806  0.887756  0         
ZrO       1.33      3.44      40        8         6.63413   13.61806  0.43329   1.46111   1.55      0.6       4         6         2.825     2.825     1.70      1.70      2         0         2         0         2         4         0         0         0.989382  0.478807  0         
LuBi      1.27      2.02      71        83        5.42587   7.28552   0.23887   0.94236   1.75      1.6       3         5         3.37      3.37      1.2       1.2       2         0         1         14        2         3         10        14        0.594059  0.117957  1         
TlCl      1.62      3.16      81        17        6.10829   12.96763  0.32005   3.61273   1.9       1.0       3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         0         0         0.708486  0.52422   0         
ErH       1.24      2.2       68        1         6.1077    13.59843  0.312     0.7546    1.75      0.25      3         1         3.63      3.63      1.2       1.2       2         0         0         12        1         0         0         0         0.339086  0.715384  0         
TlBr      1.62      2.96      81        35        6.10829   11.81381  0.32005   3.36359   1.9       1.15      3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         10        0         0.350483  0.044458  0         
PtO       2.28      3.44      78        8         8.95883   13.61806  2.12511   1.46111   1.35      0.6       10        6         2.70      2.70      1.91      1.91      1         0         9         14        2         4         0         0         0.955297  0.926908  0         
NbN       1.6       3.04      41        7         6.75885   14.53413  0.91741   -0.07     1.45      0.65      5         5         2.76      2.76      2.03      2.03      1         0         4         0         2         3         0         0         0.644335  0.859033  0         
CsBr      0.79      2.96      55        35        3.89391   11.81381  0.47163   3.36359   2.6       1.15      1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         10        0         0.538828  0.146017  0         
BeO       1.57      3.44      4         8         9.3227    13.61806  -0.52     1.46111   1.05      0.6       2         6         1.08      1.08      1.45      1.45      2         0         0         0         2         4         0         0         0.35943   0.01235   0         
CdC       1.69      2.55      48        6         8.99382   11.26029  -0.72     1.26211   1.55      0.7       12        4         2.215     2.215     1.40      1.40      2         0         10        0         2         2         0         0         0.930275  0.760141  0         
TlN       1.62      3.04      81        7         6.10829   14.53413  0.32005   -0.07     1.9       0.65      3         5         2.235     2.235     1.69      1.69      2         1         10        14        2         3         0         0         0.370143  0.433405  0         
ScAs      1.36      2.18      21        33        6.56149   9.78855   0.1882    0.80482   1.6       1.15      3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         10        0         0.40854   0.941596  1         
MgO       1.31      3.44      12        8         7.64624   13.61806  -0.42     1.46111   1.5       0.6       2         6         2.03      2.03      1.31      1.31      2         0         0         0         2         4         0         0         0.417476  0.329236  0         
BrN       2.96      3.04      35        7         11.81381  14.53413  3.36359   -0.07     1.15      0.65      7         5         1.20      1.20      2.83      2.83      2         5         10        0         2         3         0         0         0.072476  0.045618  0         
ThC       1.3       2.55      90        6         6.3067    11.26029  1.17      1.26211   1.8       0.7       3         4         4.98      4.98      1.3       1.3       2         0         2         0         2         2         0         0         0.563079  0.512107  0         
LiH       0.98      2.2       3         1         5.39171   13.59843  0.61805   0.7546    1.45      0.25      1         1         1.61      1.61      0.90      0.90      1         0         0         0         1         0         0         0         0.315444  0.990009  0         
NdN       1.14      3.04      60        7         5.525     14.53413  0.09749   -0.07     1.85      0.65      3         5         3.99      3.99      1.2       1.2       2         0         0         4         2         3         0         0         0.483354  0.382608  1         
PtC       2.28      2.55      78        6         8.95883   11.26029  2.12511   1.26211   1.35      0.7       10        4         2.70      2.70      1.91      1.91      1         0         9         14        2         2         0         0         0.434048  0.193511  1         
NpN       1.36      3.04      93        7         6.26554   14.53413  0.48      -0.07     1.75      0.65      3         5         4.93      4.93      1.3       1.3       2         0         1         4         2         3         0         0         0.896793  0.597065  0         
NdAs      1.14      2.18      60        33        5.525     9.78855   0.09749   0.80482   1.85      1.15      3         5         3.99      3.99      1.2       1.2       2         0         0         4         2         3         10        0         0.00985   0.413879  1         
CsB       0.79      2.04      55        5         3.89391   8.29802   0.47163   0.27972   2.6       0.85      1         3         4.31      4.31      0.77      0.77      1         0         0         0         2         1         0         0         0.11127   0.084791  0         
IN        2.66      3.04      53        7         10.45126  14.53413  3.05905   -0.07     1.4       0.65      7         5         1.585     1.585     2.76      2.76      2         5         10        0         2         3         0         0         0.864219  0.63687   0         
PrBi      1.13      2.02      59        83        5.4702    7.28552   0.10923   0.94236   1.85      1.6       3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         10        14        0.490165  0.123424  1         
HfC       1.3       2.55      72        6         6.82507   11.26029  0.17807   1.26211   1.55      0.7       4         4         2.91      2.91      1.73      1.73      2         0         2         14        2         2         0         0         0.21825   0.715684  1         
ZnO       1.65      3.44      30        8         9.3942    13.61806  -0.62     1.46111   1.35      0.6       12        6         1.88      1.88      1.44      1.44      2         0         10        0         2         4         0         0         0.705052  0.435991  0         
VN        1.63      3.04      23        7         6.74619   14.53413  0.52766   -0.07     1.35      0.65      5         5         2.43      2.43      2.22      2.22      2         0         3         0         2         3         0         0         0.677987  0.732405  0         
DySb      1.22      2.05      66        51        5.93905   8.60839   0.352     1.0474    1.75      1.45      3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         10        0         0.175384  0.764889  1         
InSb      1.78      2.05      49        51        5.78636   8.60839   0.38393   1.0474    1.55      1.45      3         5         2.05      2.05      1.63      1.63      2         1         10        0         2         3         10        0         0.01737   0.572432  0         
LuP       1.27      2.19      71        15        5.42587   10.48669  0.23887   0.74661   1.75      1.0       3         5         3.37      3.37      1.2       1.2       2         0         1         14        2         3         0         0         0.614161  0.982802  0         
DyN       1.22      3.04      66        7         5.93905   14.53413  0.352     -0.07     1.75      0.65      3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         0         0         0.077339  0.38597   0         
ThSe      1.3       2.55      90        34        6.3067    9.75239   1.17      2.0206    1.8       1.15      3         6         4.98      4.98      1.3       1.3       2         0         2         0         2         4         10        0         0.630678  0.61479   0         
HoSb      1.23      2.05      67        51        6.0215    8.60839   0.338     1.0474    1.75      1.45      3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         10        0         0.690501  0.120539  1         
YbO       1.1       3.44      70        8         6.25416   13.61806  -0.02     1.46111   1.75      0.6       3         6         3.59      3.59      1.1       1.1       2         0         0         14        2         4         0         0         0.938914  0.225216  0         
ErSb      1.24      2.05      68        51        6.1077    8.60839   0.312     1.0474    1.75      1.45      3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         10        0         0.083249  0.220265  1         
SnTe      1.96      2.1       50        52        7.34392   9.00981   1.11207   1.97088   1.45      1.4       4         6         1.88      1.88      1.88      1.88      2         2         10        0         2         4         10        0         0.109582  0.460047  1         
ThGe      1.3       2.01      90        32        6.3067    7.89944   1.17      1.23268   1.8       1.25      3         4         4.98      4.98      1.3       1.3       2         0         2         0         2         2         10        0         0.848945  0.987057  1         
CdTe      1.69      2.1       48        52        8.99382   9.00981   -0.72     1.97088   1.55      1.4       12        6         2.215     2.215     1.40      1.40      2         0         10        0         2         4         10        0         0.000305  0.129728  0         
LiF       0.98      3.98      3         9         5.39171   17.42282  0.61805   3.40119   1.45      0.5       1         7         1.61      1.61      0.90      0.90      1         0         0         0         2         5         0         0         0.959868  0.267469  0         
TbSb      1.1       2.05      65        51        5.8638    8.60839   0.13132   1.0474    1.75      1.45      3         5         3.89      3.89      1.2       1.2       2         0         0         9         2         3         10        0         0.017378  0.600916  1         
YbSe      1.1       2.55      70        34        6.25416   9.75239   -0.02     2.0206    1.75      1.15      3         6         3.59      3.59      1.1       1.1       2         0         0         14        2         4         10        0         0.342947  0.151272  0         
KF        0.82      3.98      19        9         4.34066   17.42282  0.50146   3.40119   2.2       0.5       1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         0         0         0.683474  0.778101  0         
KI        0.82      2.66      19        53        4.34066   10.45126  0.50146   3.05905   2.2       1.4       1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         10        0         0.171654  0.921602  0         
DyBi      1.22      2.02      66        83        5.93905   7.28552   0.352     0.94236   1.75      1.6       3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         10        14        0.829694  0.323699  1         
TbBi      1.1       2.02      65        83        5.8638    7.28552   0.13132   0.94236   1.75      1.6       3         5         3.89      3.89      1.2       1.2       2         0         0         9         2         3         10        14        0.999875  0.692531  1         
CeSe      1.12      2.55      58        34        5.5386    9.75239   0.572     2.0206    1.85      1.15      3         6         4.50      4.50      1.1       1.1       2         0         1         1         2         4         10        0         0.020406  0.832136  1         
UC        1.38      2.55      92        6         6.19405   11.26029  0.53      1.26211   1.75      0.7       3         4         4.72      4.72      1.7       1.7       2         0         1         3         2         2         0         0         0.301067  0.119578  0         
SrS       0.95      2.58      38        16        5.69487   10.36001  0.05207   2.0771    2.0       1.0       2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         0         0         0.116174  0.402516  0         
AgF       1.93      3.98      47        9         7.57623   17.42282  1.30447   3.40119   1.6       0.5       11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         0         0         0.989692  0.45058   0         
LaAs      1.1       2.18      57        33        5.5769    9.78855   0.55755   0.80482   1.95      1.15      3         5         3.08      3.08      1.35      1.35      2         0         1         0         2         3         10        0         0.231191  0.692828  1         
ErBi      1.24      2.02      68        83        6.1077    7.28552   0.312     0.94236   1.75      1.6       3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         10        14        0.872625  0.939774  1         
NdBi      1.14      2.02      60        83        5.525     7.28552   0.09749   0.94236   1.85      1.6       3         5         3.99      3.99      1.2       1.2       2         0         0         4         2         3         10        14        0.76147   0.493384  1         
HBr       2.2       2.96      1         35        13.59843  11.81381  0.7546    3.36359   0.25      1.15      1         7         1.25      1.25      2.10      2.10      1         0         0         0         2         5         10        0         0.075461  0.878874  0         
InN       1.78      3.04      49        7         5.78636   14.53413  0.38393   -0.07     1.55      0.65      3         5         2.05      2.05      1.63      1.63      2         1         10        0         2         3         0         0         0.114548  0.402223  0         
PdO       2.2       3.44      46        8         8.33684   13.61806  0.56214   1.46111   1.4       0.6       10        6         2.45      2.45      2.08      2.08      0         0         10        0         2         4         0         0         0.381637  0.278476  0         
MnN       1.55      3.04      25        7         7.43404   14.53413  -0.52     -0.07     1.4       0.65      7         5         2.22      2.22      2.04      2.04      2         0         5         0         2         3         0         0         0.356767  0.241347  0         
CuCl      1.9       3.16      29        17        7.72638   12.96763  1.23578   3.61273   1.35      1.0       11        7         2.04      2.04      1.08      1.08      1         0         10        0         2         5         0         0         0.137423  0.600409  0         
NdP       1.14      2.19      60        15        5.525     10.48669  0.09749   0.74661   1.85      1.0       3         5         3.99      3.99      1.2       1.2       2         0         0         4         2         3         0         0         0.928778  0.462953  1         
ReN       1.9       3.04      75        7         7.83352   14.53413  0.0604    -0.07     1.35      0.65      7         5         2.68      2.68      2.06      2.06      2         0         5         14        2         3         0         0         0.0576    0.282679  0         
ScBi      1.36      2.02      21        83        6.56149   7.28552   0.1882    0.94236   1.6       1.6       3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         10        14        0.450547  0.37758   1         
TlI       1.62      2.66      81        53        6.10829   10.45126  0.32005   3.05905   1.9       1.4       3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         10        0         0.703956  0.03102   0         
PaN       1.5       3.04      91        7         5.89      14.53413  0.55      -0.07     1.8       0.65      3         5         4.96      4.96      1.5       1.5       2         0         1         2         2         3         0         0         0.952987  0.353969  1         
NiC       1.91      2.55      28        6         7.63988   11.26029  1.15716   1.26211   1.35      0.7       10        4         2.18      2.18      1.76      1.76      2         0         8         0         2         2         0         0         0.408383  0.824879  1         
CsI       0.79      2.66      55        53        3.89391   10.45126  0.47163   3.05905   2.6       1.4       1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         10        0         0.531925  0.602606  0         
CaTe      1.0       2.1       20        52        6.11316   9.00981   0.02455   1.97088   1.8       1.4       2         6         3.00      3.00      1.17      1.17      2         0         0         0         2         4         10        0         0.400973  0.252178  0         
LuN       1.27      3.04      71        7         5.42587   14.53413  0.23887   -0.07     1.75      0.65      3         5         3.37      3.37      1.2       1.2       2         0         1         14        2         3         0         0         0.983291  0.156865  0         
LuAs      1.27      2.18      71        33        5.42587   9.78855   0.23887   0.80482   1.75      1.15      3         5         3.37      3.37      1.2       1.2       2         0         1         14        2         3         10        0         0.888646  0.066891  0         
CaSe      1.0       2.55      20        34        6.11316   9.75239   0.02455   2.0206    1.8       1.15      2         6         3.00      3.00      1.17      1.17      2         0         0         0         2         4         10        0         0.143088  0.694713  0         
SmBi      1.17      2.02      62        83        5.64371   7.28552   0.162     0.94236   1.85      1.6       3         5         4.14      4.14      1.2       1.2       2         0         0         6         2         3         10        14        0.060177  0.420244  1         
ZnTe      1.65      2.1       30        52        9.3942    9.00981   -0.62     1.97088   1.35      1.4       12        6         1.88      1.88      1.44      1.44      2         0         10        0         2         4         10        0         0.971427  0.189804  0         
HoBi      1.23      2.02      67        83        6.0215    7.28552   0.338     0.94236   1.75      1.6       3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         10        14        0.454309  0.75094   1         
MgS       1.31      2.58      12        16        7.64624   10.36001  -0.42     2.0771    1.5       1.0       2         6         2.03      2.03      1.31      1.31      2         0         0         0         2         4         0         0         0.815873  0.414371  0         
PrSb      1.13      2.05      59        51        5.4702    8.60839   0.10923   1.0474    1.85      1.45      3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         10        0         0.217757  0.694303  1         
AgN       1.93      3.04      47        7         7.57623   14.53413  1.30447   -0.07     1.6       0.65      11        5         2.375     2.375     1.07      1.07      1         0         10        0         2         3         0         0         0.996063  0.752458  0         
PuTe      1.28      2.1       94        52        6.02576   9.00981   -0.5      1.97088   1.75      1.4       3         6         4.91      4.91      1.3       1.3       2         0         0         6         2         4         10        0         0.511097  0.982817  1         
TbN       1.1       3.04      65        7         5.8638    14.53413  0.13132   -0.07     1.75      0.65      3         5         3.89      3.89      1.2       1.2       2         0         0         9         2         3         0         0         0.663988  0.123016  0         
RbH       0.82      2.2       37        1         4.17713   13.59843  0.48592   0.7546    2.35      0.25      1         1         4.10      4.10      0.80      0.80      1         0         0         0         1         0         0         0         0.003225  0.590671  0         
