formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     random36  random37  topoY     
NdInPt    2.28      1.14      1.78      78        60        49        8.95883   5.525     5.78636   2.12511   0.09749   0.38393   1.35      1.85      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         4         2         1         10        0         0.583858  0.994606  0         
CaPdPb    2.2       1.0       2.33      46        20        82        8.33684   6.11316   7.41668   0.56214   0.02455   0.35672   1.4       1.8       1.8       10        2         4         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         0         2         2         10        14        0.264997  0.9726    1         
YMgGa     1.81      1.22      1.31      31        39        12        5.9993    6.21726   7.64624   0.3012    0.30712   -0.42     1.3       1.8       1.5       3         3         2         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         1         0         2         0         0         0         0.18152   0.087256  1         
HoAlNi    1.91      1.23      1.61      28        67        13        7.63988   6.0215    5.98577   1.15716   0.338     0.43284   1.35      1.75      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         11        2         1         0         0         0.963379  0.267133  0         
GePt2     2.01      2.28      2.28      32        78        78        7.89944   8.95883   8.95883   1.23268   2.12511   2.12511   1.25      1.35      1.35      4         10        10        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         1         0         9         14        1         0         9         14        0.614305  0.438884  0         
YAgPb     2.33      1.22      1.93      82        39        47        7.41668   6.21726   7.57623   0.35672   0.30712   1.30447   1.8       1.8       1.6       4         3         11        2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         1         0         1         0         10        0         0.058638  0.28724   1         
CeMgPd    2.2       1.12      1.31      46        58        12        8.33684   5.5386    7.64624   0.56214   0.572     -0.42     1.4       1.85      1.5       10        3         2         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         1         1         2         0         0         0         0.527963  0.413862  0         
TbInNi    1.91      1.1       1.78      28        65        49        7.63988   5.8638    5.78636   1.15716   0.13132   0.38393   1.35      1.75      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         9         2         1         10        0         0.740519  0.265496  0         
CeInIr    2.2       1.12      1.78      77        58        49        8.96702   5.5386    5.78636   1.56436   0.572     0.38393   1.35      1.85      1.55      9         3         3         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         1         1         2         1         10        0         0.226373  0.501314  1         
TmAgPb    2.33      1.25      1.93      82        69        47        7.41668   6.18431   7.57623   0.35672   1.02922   1.30447   1.8       1.75      1.6       4         3         11        2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         0         13        1         0         10        0         0.922121  0.798084  0         
HoMgIn    1.78      1.23      1.31      49        67        12        5.78636   6.0215    7.64624   0.38393   0.338     -0.42     1.55      1.75      1.5       3         3         2         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         0         0         11        2         0         0         0         0.819828  0.07967   1         
LuAgSn    1.96      1.27      1.93      50        71        47        7.34392   5.42587   7.57623   1.11207   0.23887   1.30447   1.45      1.75      1.6       4         3         11        1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         0         1         14        1         0         10        0         0.831818  0.977555  1         
CeInCu    1.9       1.12      1.78      29        58        49        7.72638   5.5386    5.78636   1.23578   0.572     0.38393   1.35      1.85      1.55      11        3         3         2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         0         1         1         2         1         10        0         0.356165  0.293032  1         
HoInNi    1.91      1.23      1.78      28        67        49        7.63988   6.0215    5.78636   1.15716   0.338     0.38393   1.35      1.75      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         11        2         1         10        0         0.081409  0.04446   0         
HoTlPd    2.2       1.23      1.62      46        67        81        8.33684   6.0215    6.10829   0.56214   0.338     0.32005   1.4       1.75      1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         11        2         1         10        14        0.434479  0.777609  0         
YMgAg     1.93      1.22      1.31      47        39        12        7.57623   6.21726   7.64624   1.30447   0.30712   -0.42     1.6       1.8       1.5       11        3         2         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         1         0         2         0         0         0         0.895531  0.76693   1         
TbInPt    2.28      1.1       1.78      78        65        49        8.95883   5.8638    5.78636   2.12511   0.13132   0.38393   1.35      1.75      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         9         2         1         10        0         0.078661  0.774682  0         
LuInPt    2.28      1.27      1.78      78        71        49        8.95883   5.42587   5.78636   2.12511   0.23887   0.38393   1.35      1.75      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         1         14        2         1         10        0         0.762643  0.804576  0         
CaCdPb    2.33      1.0       1.69      82        20        48        7.41668   6.11316   8.99382   0.35672   0.02455   -0.72     1.8       1.8       1.55      4         2         12        2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         0         0         2         0         10        0         0.427222  0.793694  0         
DyMgIn    1.78      1.22      1.31      49        66        12        5.78636   5.93905   7.64624   0.38393   0.352     -0.42     1.55      1.75      1.5       3         3         2         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         0         0         10        2         0         0         0         0.235333  0.090233  1         
DyAgGe    2.01      1.22      1.93      32        66        47        7.89944   5.93905   7.57623   1.23268   0.352     1.30447   1.25      1.75      1.6       4         3         11        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         10        1         0         10        0         0.1138    0.480906  1         
DyInNi    1.91      1.22      1.78      28        66        49        7.63988   5.93905   5.78636   1.15716   0.352     0.38393   1.35      1.75      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         10        2         1         10        0         0.343068  0.78111   0         
ErInPd    2.2       1.24      1.78      46        68        49        8.33684   6.1077    5.78636   0.56214   0.312     0.38393   1.4       1.75      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         12        2         1         10        0         0.403158  0.542046  0         
YTlPd     2.2       1.22      1.62      46        39        81        8.33684   6.21726   6.10829   0.56214   0.30712   0.32005   1.4       1.8       1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         1         0         2         1         10        14        0.288695  0.737591  0         
LiErGe    2.01      1.24      0.98      32        68        3         7.89944   6.1077    5.39171   1.23268   0.312     0.61805   1.25      1.75      1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         12        1         0         0         0         0.817556  0.504025  1         
TbAgGe    1.93      1.1       2.01      47        65        32        7.57623   5.8638    7.89944   1.30447   0.13132   1.23268   1.6       1.75      1.25      11        3         4         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         9         2         2         10        0         0.506651  0.984231  1         
CaCdGe    2.01      1.0       1.69      32        20        48        7.89944   6.11316   8.99382   1.23268   0.02455   -0.72     1.25      1.8       1.55      4         2         12        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         0         2         0         10        0         0.984976  0.990073  1         
HoSnRh    2.28      1.23      1.96      45        67        50        7.4589    6.0215    7.34392   1.14289   0.338     1.11207   1.35      1.75      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         0         11        2         2         10        0         0.031577  0.701194  0         
LaMgTl    1.62      1.1       1.31      81        57        12        6.10829   5.5769    7.64624   0.32005   0.55755   -0.42     1.9       1.95      1.5       3         3         2         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         0         1         0         2         0         0         0         0.302716  0.444201  1         
NdMgGa    1.81      1.14      1.31      31        60        12        5.9993    5.525     7.64624   0.3012    0.09749   -0.42     1.3       1.85      1.5       3         3         2         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         4         2         0         0         0         0.404485  0.490942  1         
TmMgGa    1.81      1.25      1.31      31        69        12        5.9993    6.18431   7.64624   0.3012    1.02922   -0.42     1.3       1.75      1.5       3         3         2         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         13        2         0         0         0         0.796415  0.282126  1         
SmMgGa    1.81      1.17      1.31      31        62        12        5.9993    5.64371   7.64624   0.3012    0.162     -0.42     1.3       1.85      1.5       3         3         2         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         6         2         0         0         0         0.552919  0.104149  1         
YAlNi     1.91      1.22      1.61      28        39        13        7.63988   6.21726   5.98577   1.15716   0.30712   0.43284   1.35      1.8       1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         1         0         2         1         0         0         0.73185   0.926311  1         
TmInPd    2.2       1.25      1.78      46        69        49        8.33684   6.18431   5.78636   0.56214   1.02922   0.38393   1.4       1.75      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         13        2         1         10        0         0.453426  0.341946  0         
TmAgSn    1.96      1.25      1.93      50        69        47        7.34392   6.18431   7.57623   1.11207   1.02922   1.30447   1.45      1.75      1.6       4         3         11        1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         0         0         13        1         0         10        0         0.647448  0.362512  1         
LaInNi    1.91      1.1       1.78      28        57        49        7.63988   5.5769    5.78636   1.15716   0.55755   0.38393   1.35      1.95      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         1         0         2         1         10        0         0.110279  0.354253  0         
ThGaRh    2.28      1.3       1.81      45        90        31        7.4589    6.3067    5.9993    1.14289   1.17      0.3012    1.35      1.8       1.3       9         3         3         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         2         0         2         1         10        0         0.202959  0.203774  0         
DyMgAg    1.93      1.22      1.31      47        66        12        7.57623   5.93905   7.64624   1.30447   0.352     -0.42     1.6       1.75      1.5       11        3         2         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         10        2         0         0         0         0.672669  0.601007  1         
YSnRh     2.28      1.22      1.96      45        39        50        7.4589    6.21726   7.34392   1.14289   0.30712   1.11207   1.35      1.8       1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         1         0         2         2         10        0         0.845273  0.073137  0         
DyCdCu    1.9       1.22      1.69      29        66        48        7.72638   5.93905   8.99382   1.23578   0.352     -0.72     1.35      1.75      1.55      11        3         12        2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         0         0         10        2         0         10        0         0.274396  0.227814  0         
TiO2      1.54      3.44      3.44      22        8         8         6.82812   13.61806  13.61806  0.07555   1.46111   1.46111   1.4       0.6       0.6       4         6         6         2.58      2.58      2.58      1.86      1.86      1.86      2         0         2         0         2         4         0         0         2         4         0         0         0.677707  0.523766  0         
LuSnRh    2.28      1.27      1.96      45        71        50        7.4589    5.42587   7.34392   1.14289   0.23887   1.11207   1.35      1.75      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         1         14        2         2         10        0         0.164986  0.909596  0         
DyCdGa    1.81      1.22      1.69      31        66        48        5.9993    5.93905   8.99382   0.3012    0.352     -0.72     1.3       1.75      1.55      3         3         12        1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         10        2         0         10        0         0.126067  0.92544   1         
NiPRh     2.19      2.28      1.91      15        45        28        10.48669  7.4589    7.63988   0.74661   1.14289   1.15716   1.0       1.35      1.35      5         9         10        1.24      1.24      1.24      2.32      2.32      2.32      2         3         0         0         1         0         8         0         2         0         8         0         0.520077  0.9666    0         
YbMgPb    1.31      1.1       2.33      12        70        82        7.64624   6.25416   7.41668   -0.42     -0.02     0.35672   1.5       1.75      1.8       2         3         4         2.03      2.03      2.03      1.31      1.31      1.31      2         0         0         0         2         0         0         14        2         2         10        14        0.663697  0.038149  1         
CeZnNi    1.91      1.12      1.65      28        58        30        7.63988   5.5386    9.3942    1.15716   0.572     -0.62     1.35      1.85      1.35      10        3         12        2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         1         1         2         0         10        0         0.71321   0.961421  0         
CoNiAs    2.18      1.88      1.91      33        27        28        9.78855   7.88101   7.63988   0.80482   0.66226   1.15716   1.15      1.35      1.35      5         9         10        1.415     1.415     1.415     2.27      2.27      2.27      2         3         10        0         2         0         7         0         2         0         8         0         0.006198  0.771193  1         
ThAlIr    2.2       1.3       1.61      77        90        13        8.96702   6.3067    5.98577   1.56436   1.17      0.43284   1.35      1.8       1.25      9         3         3         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         2         0         2         1         0         0         0.650826  0.211194  1         
LuSnIr    2.2       1.27      1.96      77        71        50        8.96702   5.42587   7.34392   1.56436   0.23887   1.11207   1.35      1.75      1.45      9         3         4         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         1         14        2         2         10        0         0.881528  0.312956  0         
SiNiPd    1.9       2.2       1.91      14        46        28        8.15168   8.33684   7.63988   1.38952   0.56214   1.15716   1.1       1.4       1.35      4         10        10        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         0         0         10        0         2         0         8         0         0.54724   0.82025   0         
ScAgGe    2.01      1.36      1.93      32        21        47        7.89944   6.56149   7.57623   1.23268   0.1882    1.30447   1.25      1.6       1.6       4         3         11        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         1         0         1         0         10        0         0.986442  0.831516  1         
YbCdSn    1.96      1.1       1.69      50        70        48        7.34392   6.25416   8.99382   1.11207   -0.02     -0.72     1.45      1.75      1.55      4         3         12        1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         0         0         14        2         0         10        0         0.152238  0.985121  1         
ThAlRh    2.28      1.3       1.61      45        90        13        7.4589    6.3067    5.98577   1.14289   1.17      0.43284   1.35      1.8       1.25      9         3         3         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         2         0         2         1         0         0         0.199487  0.352546  1         
NdCdGa    1.81      1.14      1.69      31        60        48        5.9993    5.525     8.99382   0.3012    0.09749   -0.72     1.3       1.85      1.55      3         3         12        1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         4         2         0         10        0         0.979617  0.248093  1         
YbMgSn    1.96      1.1       1.31      50        70        12        7.34392   6.25416   7.64624   1.11207   -0.02     -0.42     1.45      1.75      1.5       4         3         2         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         0         0         14        2         0         0         0         0.421309  0.717283  1         
ErAgSn    1.96      1.24      1.93      50        68        47        7.34392   6.1077    7.57623   1.11207   0.312     1.30447   1.45      1.75      1.6       4         3         11        1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         0         0         12        1         0         10        0         0.567095  0.759365  1         
ZrGeOs    2.01      1.33      2.2       32        40        76        7.89944   6.63413   8.43823   1.23268   0.43329   1.0778    1.25      1.55      1.3       4         4         8         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         2         0         2         0         6         14        0.371353  0.713834  0         
SmCdGa    1.81      1.17      1.69      31        62        48        5.9993    5.64371   8.99382   0.3012    0.162     -0.72     1.3       1.85      1.55      3         3         12        1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         6         2         0         10        0         0.782385  0.507266  1         
SiPd2     1.9       2.2       2.2       14        46        46        8.15168   8.33684   8.33684   1.38952   0.56214   0.56214   1.1       1.4       1.4       4         10        10        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         0         0         10        0         0         0         10        0         0.624513  0.068483  0         
LuAlPd    2.2       1.27      1.61      46        71        13        8.33684   5.42587   5.98577   0.56214   0.23887   0.43284   1.4       1.75      1.25      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         1         14        2         1         0         0         0.219574  0.887686  0         
ErAgGe    1.93      1.24      2.01      47        68        32        7.57623   6.1077    7.89944   1.30447   0.312     1.23268   1.6       1.75      1.25      11        3         4         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         12        2         2         10        0         0.428263  0.091168  1         
YInNi     1.91      1.22      1.78      28        39        49        7.63988   6.21726   5.78636   1.15716   0.30712   0.38393   1.35      1.8       1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         1         0         2         1         10        0         0.276188  0.519654  0         
BaNaP     2.19      0.89      0.93      15        56        11        10.48669  5.21166   5.13908   0.74661   0.14463   0.54793   1.0       2.15      1.8       5         2         1         1.24      1.24      1.24      2.32      2.32      2.32      2         3         0         0         2         0         0         0         1         0         0         0         0.699993  0.562325  0         
NaSrAs    2.18      0.95      0.93      33        38        11        9.78855   5.69487   5.13908   0.80482   0.05207   0.54793   1.15      2.0       1.8       5         2         1         1.415     1.415     1.415     2.27      2.27      2.27      2         3         10        0         2         0         0         0         1         0         0         0         0.445011  0.387541  0         
DyAlNi    1.91      1.22      1.61      28        66        13        7.63988   5.93905   5.98577   1.15716   0.352     0.43284   1.35      1.75      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         10        2         1         0         0         0.664953  0.557582  1         
TbAlPd    2.2       1.1       1.61      46        65        13        8.33684   5.8638    5.98577   0.56214   0.13132   0.43284   1.4       1.75      1.25      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         9         2         1         0         0         0.704997  0.703877  0         
CaAgAs    2.18      1.0       1.93      33        20        47        9.78855   6.11316   7.57623   0.80482   0.02455   1.30447   1.15      1.8       1.6       5         2         11        1.415     1.415     1.415     2.27      2.27      2.27      2         3         10        0         2         0         0         0         1         0         10        0         0.267203  0.404854  1         
SmSiAg    1.9       1.17      1.93      14        62        47        8.15168   5.64371   7.57623   1.38952   0.162     1.30447   1.1       1.85      1.6       4         3         11        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         0         6         1         0         10        0         0.780535  0.330182  1         
NdAlPd    2.2       1.14      1.61      46        60        13        8.33684   5.525     5.98577   0.56214   0.09749   0.43284   1.4       1.85      1.25      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         4         2         1         0         0         0.609815  0.76529   0         
SmMgIn    1.78      1.17      1.31      49        62        12        5.78636   5.64371   7.64624   0.38393   0.162     -0.42     1.55      1.85      1.5       3         3         2         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         0         0         6         2         0         0         0         0.863848  0.765825  1         
YMgIn     1.78      1.22      1.31      49        39        12        5.78636   6.21726   7.64624   0.38393   0.30712   -0.42     1.55      1.8       1.5       3         3         2         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         0         1         0         2         0         0         0         0.67858   0.215709  1         
LaMgGa    1.81      1.1       1.31      31        57        12        5.9993    5.5769    7.64624   0.3012    0.55755   -0.42     1.3       1.95      1.5       3         3         2         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         1         0         2         0         0         0         0.868651  0.021841  1         
BaNaBi    2.02      0.89      0.93      83        56        11        7.28552   5.21166   5.13908   0.94236   0.14463   0.54793   1.6       2.15      1.8       5         2         1         1.997     1.997     1.997     2.14      2.14      2.14      2         3         10        14        2         0         0         0         1         0         0         0         0.396726  0.180737  1         
NdInPd    2.2       1.14      1.78      46        60        49        8.33684   5.525     5.78636   0.56214   0.09749   0.38393   1.4       1.85      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         4         2         1         10        0         0.183604  0.395229  0         
ErInPt    2.28      1.24      1.78      78        68        49        8.95883   6.1077    5.78636   2.12511   0.312     0.38393   1.35      1.75      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         12        2         1         10        0         0.118448  0.937132  0         
ScInPt    2.28      1.36      1.78      78        21        49        8.95883   6.56149   5.78636   2.12511   0.1882    0.38393   1.35      1.6       1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         1         0         2         1         10        0         0.335294  0.542281  0         
HfFeGe    2.01      1.3       1.83      32        72        26        7.89944   6.82507   7.90247   1.23268   0.17807   0.15324   1.25      1.55      1.4       4         4         8         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         2         14        2         0         6         0         0.467041  0.301263  1         
DyInPt    2.28      1.22      1.78      78        66        49        8.95883   5.93905   5.78636   2.12511   0.352     0.38393   1.35      1.75      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         10        2         1         10        0         0.786371  0.510986  0         
ErInNi    1.91      1.24      1.78      28        68        49        7.63988   6.1077    5.78636   1.15716   0.312     0.38393   1.35      1.75      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         12        2         1         10        0         0.909157  0.616529  0         
YbSnPd    2.2       1.1       1.96      46        70        50        8.33684   6.25416   7.34392   0.56214   -0.02     1.11207   1.4       1.75      1.45      10        3         4         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         14        2         2         10        0         0.717118  0.892477  1         
NdSnRh    2.28      1.14      1.96      45        60        50        7.4589    5.525     7.34392   1.14289   0.09749   1.11207   1.35      1.85      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         0         4         2         2         10        0         0.571     0.972805  1         
LaTlPd    2.2       1.1       1.62      46        57        81        8.33684   5.5769    6.10829   0.56214   0.55755   0.32005   1.4       1.95      1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         1         0         2         1         10        14        0.132029  0.284289  0         
TmInPt    2.28      1.25      1.78      78        69        49        8.95883   6.18431   5.78636   2.12511   1.02922   0.38393   1.35      1.75      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         13        2         1         10        0         0.448132  0.223843  0         
BaI2      0.89      2.66      2.66      56        53        53        5.21166   10.45126  10.45126  0.14463   3.05905   3.05905   2.15      1.4       1.4       2         7         7         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         5         10        0         2         5         10        0         0.735518  0.437568  0         
CaCdSn    1.96      1.0       1.69      50        20        48        7.34392   6.11316   8.99382   1.11207   0.02455   -0.72     1.45      1.8       1.55      4         2         12        1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         0         0         0         2         0         10        0         0.025254  0.84936   1         
ErAgGe    2.01      1.24      1.93      32        68        47        7.89944   6.1077    7.57623   1.23268   0.312     1.30447   1.25      1.75      1.6       4         3         11        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         12        1         0         10        0         0.664096  0.858398  1         
LaInPt    2.28      1.1       1.78      78        57        49        8.95883   5.5769    5.78636   2.12511   0.55755   0.38393   1.35      1.95      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         1         0         2         1         10        0         0.828274  0.246005  1         
BaCl2     0.89      3.16      3.16      56        17        17        5.21166   12.96763  12.96763  0.14463   3.61273   3.61273   2.15      1.0       1.0       2         7         7         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         5         0         0         2         5         0         0         0.750038  0.724393  0         
SmTlPd    2.2       1.17      1.62      46        62        81        8.33684   5.64371   6.10829   0.56214   0.162     0.32005   1.4       1.85      1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         6         2         1         10        14        0.689078  0.158156  0         
LaCdAu    2.54      1.1       1.69      79        57        48        9.22555   5.5769    8.99382   2.30861   0.55755   -0.72     1.35      1.95      1.55      11        3         12        2.66      2.66      2.66      1.19      1.19      1.19      1         0         10        14        2         0         1         0         2         0         10        0         0.348738  0.495278  1         
YbInAu    2.54      1.1       1.78      79        70        49        9.22555   6.25416   5.78636   2.30861   -0.02     0.38393   1.35      1.75      1.55      11        3         3         2.66      2.66      2.66      1.19      1.19      1.19      1         0         10        14        2         0         0         14        2         1         10        0         0.691191  0.329025  1         
